"排名","应用id","应用名称","开发商","icon","预估收入"
"1","989673964","王者荣耀","Shenzhen Tencent Tianyou Technology Ltd","https://is3-ssl.mzstatic.com/image/thumb/Purple123/v4/db/4f/fd/db4ffd4f-8cdd-9f02-2ce7-3de317cfd57b/AppIcon-1x_U007emarketing-0-6-0-85-220.png/180x180bb.png","93811974"
"2","1321803705","和平精英","Shenzhen Tencent Tianyou Technology Ltd","https://is5-ssl.mzstatic.com/image/thumb/Purple112/v4/4b/7e/f2/4b7ef2f5-d4ee-5d88-1911-2f6cabd3cd05/AppIcon-1x_U007emarketing-0-10-0-85-220.png/180x180bb.png","53154269"
"3","1142110895","抖音","Beijing Microlive Vision Technology Co., Ltd","https://is1-ssl.mzstatic.com/image/thumb/Purple116/v4/d9/36/75/d9367595-fbeb-4ee7-7eb3-18adaf380ce6/AppIcon-0-0-1x_U007emarketing-0-0-0-6-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/180x180bb.png","48389711"
"4","1467190251","原神","miHoYo Games","https://is5-ssl.mzstatic.com/image/thumb/Purple126/v4/3c/81/f9/3c81f9ce-6481-503a-5e1c-ccd54cfc3b44/AppIcon-1x_U007emarketing-0-7-0-0-85-220.png/180x180bb.png","41488836"
"5","393765873","爱奇艺-《归路》全网首播","QIYI","https://is3-ssl.mzstatic.com/image/thumb/Purple126/v4/68/1c/57/681c5721-5928-c33d-5265-bebb6b473b27/AppIcon-0-0-1x_U007emarketing-0-0-0-6-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/180x180bb.png","31658616"
"6","458318329","腾讯视频-三体全网首播","Tencent Technology (Shenzhen) Company Limited","https://is1-ssl.mzstatic.com/image/thumb/Purple116/v4/8c/2d/e7/8c2de722-a6b4-b7f4-8da8-c913441d66db/AppIcon-0-0-1x_U007emarketing-0-0-0-8-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/180x180bb.png","26949538"
"7","1555236168","长安幻想","梦趣游戏","https://is2-ssl.mzstatic.com/image/thumb/Purple116/v4/a5/dd/62/a5dd6208-985b-a163-c3a2-c166525d51bc/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/180x180bb.png","20543124"
"8","1474572440","三国志·战略版","Lingxi Games Inc.","https://is4-ssl.mzstatic.com/image/thumb/Purple126/v4/ca/3c/f1/ca3cf14a-5f5b-4af8-077f-c22b295f996b/AppIcon-cn-1x_U007emarketing-0-7-0-85-220.png/180x180bb.png","19821079"
"9","1544884479","蛋仔派对","网易移动游戏","https://is3-ssl.mzstatic.com/image/thumb/Purple126/v4/82/24/ae/8224ae85-4419-8e94-350c-3e900f0dc689/AppIcon-0-0-1x_U007emarketing-0-0-0-7-0-0-sRGB-0-0-0-GLES2_U002c0-512MB-85-220-0-0.png/180x180bb.png","19206685"
"10","940547441","梦幻西游","网易移动游戏","https://is3-ssl.mzstatic.com/image/thumb/Purple116/v4/a0/ca/b3/a0cab376-b2e3-a925-ca46-6c9e812bf04a/AppIcon-1x_U007emarketing-0-9-85-220.png/180x180bb.png","18413687"
