日期,amount
2023/3/17,3135489
2023/3/16,2337371
2023/3/15,3458701
2023/3/14,3656696
2023/3/13,3661757
2023/3/12,3694462
2023/3/11,3655171
2023/3/10,2872150
2023/3/9,2337041
2023/3/8,2323124
2023/3/7,3652459
2023/3/6,3722569
2023/3/5,3698945
2023/3/4,3687217
2023/3/3,3659315
2023/3/2,2682696
2023/3/1,3188902
2023/2/28,3702025
2023/2/27,3684110
2023/2/26,3664242
2023/2/25,3679282
2023/2/24,3531006
2023/2/23,3013521
2023/2/22,3029997
2023/2/21,3723181
2023/2/20,3649554
2023/2/19,3690640
2023/2/18,3657878
2023/2/17,3719322
2023/2/16,3670556
2023/2/15,3720009
2023/2/14,3679899
2023/2/13,3728052
2023/2/12,3677974
2023/2/11,3691976
2023/2/10,2335230
2023/2/9,2316567
2023/2/8,2363871
2023/2/7,3545050
2023/2/6,3704161
2023/2/5,3625383
2023/2/4,3678042
2023/2/3,3658634
2023/2/2,3685999
2023/2/1,3687838
2023/1/31,3666761
2023/1/30,3653696
2023/1/29,3687227
2023/1/28,3696532
2023/1/27,3686496
2023/1/26,3713140
2023/1/25,3689857
2023/1/24,3721448
2023/1/23,3714472
2023/1/22,3708292
2023/1/21,3702610
2023/1/20,3675423
2023/1/19,3704227
2023/1/18,3674245
2023/1/17,3723245
2023/1/16,3676893
2023/1/15,3680155
2023/1/14,3701157
2023/1/13,1978323
2023/1/12,2094255
2023/1/11,2390414
2023/1/10,2334174
2023/1/9,2509819
2023/1/8,3727301
2023/1/7,3724206
2023/1/6,3670604
2023/1/5,3671254
2023/1/4,3731762
2023/1/3,3729284
2023/1/2,3687318
2023/1/1,3712779
2022/12/31,3738762
2022/12/30,2348321
2022/12/29,2255174
2022/12/28,1702886
2022/12/27,3460358
2022/12/26,3717034
2022/12/25,3679582
2022/12/24,3698814
2022/12/23,3696811
2022/12/22,3701083
2022/12/21,3660102
2022/12/20,3679466
2022/12/19,3669404
2022/12/18,3737354
