日期,amount
2023/3/17,2912815
2023/3/16,3698205
2023/3/15,2560427
2023/3/14,2342905
2023/3/13,2342333
2023/3/12,2330644
2023/3/11,2362156
2023/3/10,3148132
2023/3/9,3687433
2023/3/8,3683354
2023/3/7,2367261
2023/3/6,2360763
2023/3/5,2272122
2023/3/4,1685371
2023/3/3,2022578
2023/3/2,2847550
2023/3/1,2125780
2023/2/28,2310882
2023/2/27,1711763
2023/2/26,1719541
2023/2/25,1692656
2023/2/24,2165926
2023/2/23,1219900
2023/2/22,1221672
2023/2/21,2349305
2023/2/20,2258796
2023/2/19,1695928
2023/2/18,1716828
2023/2/17,2028953
2023/2/16,2350643
2023/2/15,2357263
2023/2/14,2276402
2023/2/13,1681140
2023/2/12,1664938
2023/2/11,1403367
2023/2/10,1530072
2023/2/9,1707912
2023/2/8,1662112
2023/2/7,1744825
2023/2/6,1726188
2023/2/5,1702494
2023/2/4,1698648
2023/2/3,1711624
2023/2/2,1693985
2023/2/1,1696830
2023/1/31,1699131
2023/1/30,1695825
2023/1/29,1721950
2023/1/28,1696377
2023/1/27,1381033
2023/1/26,1575495
2023/1/25,1713753
2023/1/24,1706234
2023/1/23,1709490
2023/1/22,1631288
2023/1/21,1555423
2023/1/20,1394127
2023/1/19,1382238
2023/1/18,1572323
2023/1/17,1689247
2023/1/16,1443472
2023/1/15,1349273
2023/1/14,1130198
2023/1/13,1325002
2023/1/12,1348299
2023/1/11,1643777
2023/1/10,1684946
2023/1/9,1802140
2023/1/8,2383542
2023/1/7,2247017
2023/1/6,2121017
2023/1/5,2319846
2023/1/4,2032935
2023/1/3,1710576
2023/1/2,1375395
2023/1/1,1729851
2022/12/31,1641647
2022/12/30,1380984
2022/12/29,1376193
2022/12/28,1360115
2022/12/27,1991780
2022/12/26,2374209
2022/12/25,2345613
2022/12/24,2348347
2022/12/23,2324898
2022/12/22,2324412
2022/12/21,2347936
2022/12/20,2352251
2022/12/19,2339947
2022/12/18,2358120
