日期,amount
2023/3/17,1648931
2023/3/16,1455345
2023/3/15,1570635
2023/3/14,1702333
2023/3/13,1374845
2023/3/12,1362935
2023/3/11,1609026
2023/3/10,1683558
2023/3/9,1702915
2023/3/8,1725205
2023/3/7,1686819
2023/3/6,1661510
2023/3/5,1373486
2023/3/4,1355257
2023/3/3,1517664
2023/3/2,1349584
2023/3/1,1588891
2023/2/28,1723862
2023/2/27,2352344
2023/2/26,2364390
2023/2/25,2335241
2023/2/24,2026878
2023/2/23,2075726
2023/2/22,2093194
2023/2/21,1697928
2023/2/20,1766712
2023/2/19,2360063
2023/2/18,2347982
2023/2/17,2045438
2023/2/16,1703315
2023/2/15,1391764
2023/2/14,1377385
2023/2/13,1361320
2023/2/12,1416846
2023/2/11,1712007
2023/2/10,1539414
2023/2/9,1394894
2023/2/8,1452265
2023/2/7,2185297
2023/2/6,2366918
2023/2/5,2331058
2023/2/4,2346178
2023/2/3,2360609
2023/2/2,2354041
2023/2/1,2395062
2023/1/31,2376371
2023/1/30,2346469
2023/1/29,2343674
2023/1/28,2338294
2023/1/27,2356415
2023/1/26,2372099
2023/1/25,2375243
2023/1/24,2324076
2023/1/23,2315463
2023/1/22,2343743
2023/1/21,2357492
2023/1/20,2126696
2023/1/19,1669060
2023/1/18,2127699
2023/1/17,2342013
2023/1/16,2351500
2023/1/15,1871525
2023/1/14,2239275
2023/1/13,3524654
2023/1/12,3668510
2023/1/11,3688726
2023/1/10,3710833
2023/1/9,3459933
2023/1/8,1695584
2023/1/7,1784617
2023/1/6,1935823
2023/1/5,1716744
2023/1/4,2073978
2023/1/3,2369556
2023/1/2,2350535
2023/1/1,2121368
2022/12/31,1412237
2022/12/30,1710848
2022/12/29,1782478
2022/12/28,2352531
2022/12/27,2022487
2022/12/26,1701644
2022/12/25,1729285
2022/12/24,1700202
2022/12/23,1690438
2022/12/22,1410972
2022/12/21,1558522
2022/12/20,1712152
2022/12/19,1712485
2022/12/18,1729121
