市（县、区）,街道,镇,乡
,,,
杭州市,93,75,23
上城区,14,1,1
拱墅区,18,1,1
西湖区,10,2,1
滨江区,3,1,1
萧山区,10,12,1
余杭区,7,5,1
富阳区,5,13,6
临安区,5,13,1
临平区,7,1,1
钱塘区,7,1,1
建德市,3,12,1
桐庐县,4,6,4
淳安县,1,11,12
宁波市,73,73,10
海曙区,9,7,1
江北区,7,1,1
北仑区,11,1,1
镇海区,5,2,1
鄞州区,15,10,1
奉化区,8,4,1
余姚市,6,14,1
慈溪市,5,14,1
象山县,3,10,5
宁海县,4,11,3
温州市,67,92,26
鹿城区,12,2,1
龙湾区,10,1,1
瓯海区,12,1,1
洞头区,6,1,1
瑞安市,12,9,2
乐清市,8,14,3
龙港市,1,1,1
永嘉县,7,11,4
平阳县,1,14,2
苍南县,1,16,2
文成县,1,12,5
泰顺县,1,12,7
嘉兴市,30,42,1
南湖区,9,4,1
秀洲区,4,5,1
海宁市,4,8,1
平湖市,3,6,1
桐乡市,3,8,1
嘉善县,3,6,1
海盐县,4,5,1
湖州市,28,38,6
吴兴区,13,5,1
南浔区,2,8,1
德清县,5,8,1
长兴县,4,9,2
安吉县,4,8,3
绍兴市,47,49,7
越城区,16,1,1
柯桥区,11,5,1
上虞区,7,10,3
诸暨市,5,17,1
嵊州市,4,10,1
新昌县,4,6,2
金华市,42,74,30
婺城区,9,9,8
金东区,2,8,1
兰溪市,6,7,3
义乌市,8,6,1
东阳市,6,11,1
永康市,3,11,1
武义县,3,8,7
浦江县,3,7,5
磐安县,2,7,5
衢州市,18,43,39
柯城区,8,2,8
衢江区,2,10,8
江山市,3,11,5
常山县,3,6,5
开化县,1,8,6
龙游县,2,6,7
舟山市,14,17,5
定海区,10,3,1
普陀区,4,5,1
岱山县,1,6,1
嵊泗县,1,3,4
台州市,45,61,24
椒江区,9,1,1
黄岩区,8,5,6
路桥区,6,4,1
温岭市,5,11,1
临海市,5,14,1
玉环市,3,6,2
三门县,3,6,1
天台县,3,7,5
仙居县,3,7,10
丽水市,31,54,88
莲都区,6,4,5
龙泉市,4,8,7
青田县,4,10,18
缙云县,3,7,8
遂昌县,2,7,11
松阳县,3,5,11
云和县,4,3,3
庆元县,3,6,10
景宁畲族自治县,2,4,15
